Utah Public Radio (UTR),Left-Center,High,United States,High Credibility,Radio Station,Minimal Traffic,46
Uproxx,Left,Mixed,United States,Medium Credibility,Website Only,High Traffic,91
Upworthy,Left,High,United States,High Credibility,Website Only,High Traffic,84
Urban Institute,Left-Center,High,United States,High Credibility,Organization/Foundation,Medium Traffic,80
Blasting News,Least Biased,High,United Kingdom,High Credibility,Website Only,High Traffic,69
24 News,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,25
Hoodsite-USA Crime,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,31
USAFacts,Least Biased,Very High,United States,High Credibility,Website Only,Medium Traffic,69
Flex Mag,Questionable Sources,Low,Unknown or Invalid Region,Low Credibility,Website Only,No Data,6
USA Hitman,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,54
USA Really,Questionable Sources,Very Low,Russia,Low Credibility,Website Only,Minimal Traffic,37
USA Spending,Least Biased,Very High,United States,High Credibility,Organization/Foundation,Medium Traffic,78
USA Supreme,Questionable Sources,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,35
USA Today,Left-Center,Mostly Factual,United States,High Credibility,Newspaper,High Traffic,97
USAWatchdog.com,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,59
US Backlash,Questionable Sources,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,27
United States Citizenship and Immigration Services,Left-Center,Very High,United States,High Credibility,Organization/Foundation,High Traffic,
United States Courts (uscourts.gov),Least Biased,High,United States,High Credibility,Organization/Foundation,High Traffic,
UsNews and World Report,Left-Center,High,United States,High Credibility,Magazine,High Traffic,95
USSA News,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,44
Utica Observer-Dispatch,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,49
Vaccine Impact,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Medium Traffic,48
Vaccine Papers,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
Vaccines News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,50
Vaccine Safety Info,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,
Vaccines Revealed,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,41
VacTruth.com,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,60
Vail Daily,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,
Valdosta Daily Times,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
KVEO - Rio Grande Valley News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Shenandoah Valley News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Lanett Valley Times-News,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Valuetainment,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,
ValueWalk,Right-Center,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,79
CityNews Vancouver,Least Biased,High,Canada,High Credibility,Radio Station,High Traffic,
News1130 & City News,Left-Center,High,Canada,High Credibility,Radio Station,Medium Traffic,50
Vancouver Sun,Right-Center,High,Canada,High Credibility,Newspaper,High Traffic,93
Vancouver Times,Questionable Sources,Mixed,Canada,Low Credibility,Website Only,Medium Traffic,
Vanity Fair,Left,Mostly Factual,United States,High Credibility,Magazine,High Traffic,93
Variety Magazine,Left-Center,High,United States,High Credibility,Magazine,High Traffic,95
Vatican Radio/News,Right-Center,High,Italy,High Credibility,Radio Station,High Traffic,66
Vaxopedia,Pro-Science,High,United States,High Credibility,Website Only,Minimal Traffic,0
Vaxxter,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,44
Ventura County Reporter,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
Ventura County Star,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
Vdare,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Medium Traffic,73
Vera Files,Left-Center,High,Philippines,High Credibility,Website Only,Medium Traffic,42
Verdugos News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,0
Verify Fact Check,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,
Vermont Independent,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,25
Vernoncoleman.org/,Conspiracy-Pseudoscience,Very Low,United Kingdom,Low Credibility,Website Only,Minimal Traffic,
VeryWell Family,Pro-Science,High,United States,High Credibility,Website Only,High Traffic,52
VeryWell Fit,Pro-Science,High,United States,High Credibility,Website Only,High Traffic,
VeryWell Health,Pro-Science,High,United States,High Credibility,Website Only,High Traffic,56
News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
VeryWell Mind,Pro-Science,High,United States,High Credibility,Website Only,High Traffic,
Veterans Today,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Medium Traffic,61
Vibe,Left-Center,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,69
Vice News,Left-Center,Mostly Factual,United States,High Credibility,Website Only,High Traffic,87
Victoria Advocate,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,49
Victoria Buzz,Left-Center,High,Canada,High Credibility,Website Only,Medium Traffic,
Victor Valley Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,0
Vidmax,Questionable Sources,Low,Cyprus,Low Credibility,Website Only,Medium Traffic,59
Vigilant Citizen,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Medium Traffic,80
Villages-News,Right-Center,High,United States,High Credibility,Website Only,Medium Traffic,
The Village Voice,Left,High,United States,High Credibility,Newspaper,Medium Traffic,71
The Vindicator,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,54
Vos Iz Neias,Least Biased,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,63
Celebtricity,Satire,,Unknown or Invalid Region,N/A,Website Only,No Data,0
Viral Cocaine,Questionable Sources,Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,40
Virginia Mercury,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,44
Visalia Times-Delta,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
Vision Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Medium Traffic,
VladTV,Left-Center,Mixed,United States,Medium Credibility,Website Only,High Traffic,
Voice of America,Least Biased,High,United States,High Credibility,Radio Station,High Traffic,93
The Voice UK,Left,Mostly Factual,United Kingdom,High Credibility,Newspaper,Medium Traffic,
Voice of San Diego,Least Biased,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,70
de Volkskrant,Right-Center,High,Netherlands,High Credibility,Newspaper,High Traffic,89
VoteFraud.News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,,No Data,29
Vote Vets,Left-Center,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,62
Vox,Left,Mostly Factual,United States,High Credibility,Website Only,High Traffic,97
VTDigger,Left-Center,High,United States,High Credibility,Website Only,Medium Traffic,
Vulture,Left-Center,High,United States,High Credibility,Website Only,High Traffic,88
Victorville Daily Press,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
WAAY - Huntsville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Wabash Plain Dealer,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
WABI - Bangor News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WACH - Columbia News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,0
Waco Tribune-Herald,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,70
WAFB - Baton Rouge,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WAFF - Huntsville,Least Biased,High,United States,High Credibility,,Medium Traffic,
WAGM - Maine News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
Wahoo Newspaper,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
The Waking Times,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,72
WALB - Albany GA,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WalesOnline,Left-Center,High,United Kingdom,High Credibility,Website Only,High Traffic,67
WallBuilders,Questionable Sources,Low,United States,Low Credibility,Organization/Foundation,Minimal Traffic,70
Wall Street on Parade,Left-Center,High,United States,High Credibility,Website Only,Minimal Traffic,55
WAMU-FM,Left-Center,High,United States,High Credibility,Radio Station,Medium Traffic,76
WAND - Decatur News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WANE - Fort Wayne News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
WUAL - NPR - Tuscaloosa,Left-Center,High,United States,High Credibility,Radio Station,Minimal Traffic,
WAPT - Jackson News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Warner Robins Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
War on Fakes,Questionable Sources,Very Low,Russia,Low Credibility,Website Only,Minimal Traffic,
War on the Rocks,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,64
The Warren Sun,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
War Room (Steve Bannon),Questionable Sources,Very Low,United States,Low Credibility,Website Only,Medium Traffic,
Washington Babylon,Left,High,United States,High Credibility,Website Only,Minimal Traffic,36
Washington Blade,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,75
Washington Examiner,Right,Mixed,United States,Medium Credibility,Newspaper,High Traffic,86
Washingtonian,Left,High,United States,High Credibility,Magazine,Medium Traffic,59
The Washington Institute for Near East Policy,Right-Center,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,74
Washington Monthly,Left-Center,High,United States,High Credibility,Magazine,Medium Traffic,81
Washington Post,Left-Center,Mostly Factual,United States,High Credibility,Newspaper,High Traffic,98
Washington Press,Left,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,45
Washington Sources,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,29
The Washington Spectator,Left,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,47
Washington Times,Questionable Sources,Mixed,United States,Low Credibility,Newspaper,High Traffic,77
Watchdog Report,Right,Mixed,United States,Medium Credibility,Website Only,Minimal Traffic,
The Watchers,Pro-Science,Mostly Factual,United Kingdom,Medium Credibility,Website Only,Minimal Traffic,58
WATE - Knoxville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Waterford Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Waterford Whispers News,Satire,,United Kingdom,N/A,Website Only,Minimal Traffic,54
Waterloo Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Watts Up with that,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Medium Traffic,84
WAVE - Louisville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WAVY - Norfolk News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WayneDupree.com,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,45
WBAL - Baltimore News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WBAY Action 2 News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WBHM - NPR - Birmingham,Left-Center,High,United States,High Credibility,Radio Station,Minimal Traffic,
WBIR-Knoxville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WBKO - Bowling Green,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WBNG - Binghamton,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WBRC - Birmingham,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WBTV - Charlotte News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,57
WBTW - Myrtle Beach News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WC Minnesota Newsa,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
West Central Alabama News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,7
WCAX - Burlington News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,53
The Waterloo-Cedar Falls Courier,Least Biased,High,United States,High Credibility,Newspaper,Medium Traffic,73
WC Georgia News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
WCHS - Charleston News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WCIA - Central Illinois News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WC Indiana News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
WC Iowa News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
WCJB - Gainesville,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,0
West Central Michigan News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
WC Mississippi News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
WCPO - Cincinnati News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
WCTI - New Bern News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,0
West Central Tribune,Right-Center,High,United States,High Credibility,Newspaper,Medium Traffic,49
WCTV Eyewitness News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WCVB - Boston News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
WCYB - Bristol News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,0
WDAM - Hattiesburg News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WDBJ - Roanoke,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WDIO - Duluth News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WDRB - Louisville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WDSU - New Orleans News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WDTN - Dayton News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WDTV - Weston News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WTAJ - Altoona News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
We are Change,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,64
WFRV - Green Bay News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WOI-DT - Des Moines News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
We are the Mighty,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,51
WEAR TV - Pensacola News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
Wear Your Voice,Left,High,United States,High Credibility,Magazine,Minimal Traffic,56
Weasel Zippers,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,67
WEAU 13 News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
James Randi Educational Foundation,Pro-Science,Very High,United States,High Credibility,Organization/Foundation,Minimal Traffic,58
KTVF - Fairbanks News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
WebMD,Pro-Science,High,United States,High Credibility,Website Only,High Traffic,97
WECT News 6,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Weekly World News,Satire,,United States,N/A,Website Only,Medium Traffic,
World Economic Forum,Left-Center,High,Switzerland,High Credibility,Organization/Foundation,High Traffic,95
We Hunted the Mammoth,Left,High,United States,High Credibility,Website Only,Minimal Traffic,56
Weibo,Questionable Sources,Mixed,China,Low Credibility,Website Only,High Traffic,
Wellington Daily News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
We Love Trump,Questionable Sources,Very Low,United States,Low Credibility,Website Only,Medium Traffic,
Die Welt,Right-Center,High,Germany,High Credibility,Newspaper,High Traffic,77
WENY News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
WESH - Orlando News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
West Atlanta News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Westbank Louisiana News,Questionable Sources,Mixed,United States,Low Credibility,,Minimal Traffic,
West Central Reporter,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
West Contra Costa News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,0
West Cook News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
West DSM News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
West El Dorado News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,0
Western Journal,Questionable Sources,Mixed,United States,Low Credibility,Website Only,High Traffic,60
Conservative Tribune,Questionable Sources,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,44
Western Mass News,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,44
WGGB - Springfield News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Western Standard,Right,Mixed,Canada,Medium Credibility,Website Only,Medium Traffic,
Western Wayne Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
West Florida News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
West Hawii Today,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,
West HIllsborough News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
West Indy News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
West LA Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,0
West Massachusetts News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
West OC Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Weston A. Price Foundation,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Organization/Foundation,Medium Traffic,64
West Pennyroyal News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
West SBV Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,0
West SFV Today,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,0
West SGV News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,0
West Twin Cities,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
West Valley View,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
West Ventura News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,0
West Volusia News,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Denver Westword,Left-Center,High,United States,High Credibility,Newspaper,Medium Traffic,62
We The People Daily,Questionable Sources,Low,United States,Low Credibility,Website Only,Minimal Traffic,21
WEVV - Evansville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WFAA - Dallas News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
WFFT - Fort Wayne News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WFLA - Tampa Bay,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
WFLX - West Palm Beach,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WFMYnews2.com,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,58
WFMZ - Allentown News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,57
WFSB - Hartford News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
WFTV - Orlando News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WFXL - Albany GA,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WFXR - Roanoke News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WGAL - Lancaster News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
WGEM - Quincy News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WGME - CBS 13,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WGNO - New Orleans News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WGN News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,79
WGRZ - Buffalo News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WGXA News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WHAS - Louisville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WhatCulture,Least Biased,High,United Kingdom,High Credibility,Website Only,High Traffic,
WhatDoesItMean,Conspiracy-Pseudoscience,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Medium Traffic,71
Whatfinger,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,48
What Really Happened,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Medium Traffic,76
WhatRegistrater.com (Fake Fox News),Questionable Sources,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
What's the Harm,Questionable Sources,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,57
WHDH - Boston News,Left-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WHEC - Rochester News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WHIO - Dayton News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
Government Accountability Project (GAP),Left-Center,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,65
Whitehouse.gov,Left-Center,Mostly Factual,United States,High Credibility,Website Only,High Traffic,91
WhiteHouse.News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,0
Whittier Daily News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,
WHNT News 19,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
World Health Organization,Pro-Science,High,Switzerland,High Credibility,Organization/Foundation,High Traffic,97
WHO - Des Moines News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Who.What.Why,Left,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,57
WHSV,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
13 News - WIBW,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
Catholic Tribune - Wisconsin,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
Wichita Standard,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
WICZ - Binghamton News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
23WIFR News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WikiIslam,Right,Mixed,United States,Medium Credibility,Website Only,Medium Traffic,49
Wikileaks,Left-Center,Mixed,Iceland,Medium Credibility,Website Only,Medium Traffic,91
Wikipedia,Least Biased,Mixed,United States,Medium Credibility,Organization/Foundation,High Traffic,97
Wikispooks,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,50
The Wilderness Society,Left-Center,High,United States,High Credibility,Organization/Foundation,Minimal Traffic,64
Will County Gazette,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Woodrow Wilson International Center,Least Biased,High,United States,High Credibility,Organization/Foundation,Medium Traffic,79
WILX 10,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
The Winchester Star,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,0
Winchester Sun,Right-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
Windsor Star,Right-Center,High,Canada,High Credibility,Newspaper,Medium Traffic,84
Wine Country Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,0
WINK - Fort Myers News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
CityNews - Winnipeg,Least Biased,High,United States,High Credibility,Radio Station,High Traffic,
Winnipeg Free Press,Least Biased,High,Canada,High Credibility,Newspaper,High Traffic,60
Winona Daily News,Least Biased,High,United States,High Credibility,Newspaper,Minimal Traffic,0
Winter Watch,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,Minimal Traffic,
WION (World is One News),Least Biased,Mixed,India,Medium Credibility,Website Only,Medium Traffic,63
WEUX - Eau Claire News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
WLAX - La Crosse News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
Wired Magazine,Left-Center,High,United States,High Credibility,Magazine,High Traffic,97
Wiregrass Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,3
The Wisconsin Independent,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
Wisconsin Lake Times,Questionable Sources,Mixed,United States,Low Credibility,Website Only,Minimal Traffic,
WISH-TV,Left-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WISN - Milwaukee News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
WIS - Columbia SC News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,0
WITN News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WIVB - Buffalo,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WJAB - NPR - Huntsville,Left-Center,High,United States,High Credibility,Radio Station,Minimal Traffic,
WJAC - NBC 6,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WJCL - Savannah News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WJFB - Lebanon Tennessee News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WJHG News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WJHL - Johnson City News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WJLA - ABC 7,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WJTV - Jackson News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WKBN - Youngstown News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WKBW - Buffalo News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WKOW - Madison News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WKRG News 5,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WKRN - Nashville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WKYC - Cleveland News,Least Biased,High,United States,High Credibility,TV Station,High Traffic,
WKYT News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WLBT - Jackson News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WLFI - Lafayette News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WLKY - Louisville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WLAJ - Lansing News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WLNS - Lansing News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WLOS (ABC13News),Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,71
WLOX - Biloxi News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WLRH - NPR - Huntsville,Left-Center,High,United States,High Credibility,Newspaper,Minimal Traffic,
WLTX - Columbia News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WLWT - Cincinnati News,Least Biased,High,United States,High Credibility,Newspaper,High Traffic,
WMAR - Baltimore News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WMBF - Myrtle Beach,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,0
WMTW - Portland News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WMUR9,Least Biased,High,United States,High Credibility,TV Station,High Traffic,64
